source_concept_code,ws_frequency
1646,75334
3040101314,75122
30412000130,75066
302840,74960
10701000005,74932
503290,74825
1420100005,74709
4080000374,74672
3040100127,74613
30491023,74602
7090170,74540
30412000131,74414
1570010007,74319
3040111659,74081
8810,74000
503350,73955
3040111646,73661
1500004074,73517
1570064113,73409
1570064112,73409
74202001,73396
5203053001,73373
1570064111,73263
712,73150
3040111647,73047
1570010009,72844
7070212,72765
1140100013,72739
1540100035,72730
742020405,72686
1500004714,72573
24892,72528
3200000024,72378
1540100199,72331
1180102027,72262
304001795,72108
1540100184,72068
742020402,72054
30825,71982
1500003882,71977
315640,71816
16092,71802
30440102717,71764
742020403,71719
1180102032,71701
300021,71621
400180,71525
2100001698,71504
3040100121,71402
3040100120,71381
1500003317,71163
7090180,71102
7090200,71086
74202014507,70941
3040103230,70885
1540100198,70876
1071116,70826
303100,70766
1071106,70698
1071103,70620
7090190,70543
304930,70532
3042022183,70473
7422301023,70458
1071110,70373
1540100146,70279
7090210,70239
6873,69934
11915,69726
7420304501,69655
21698,69623
742020301,69363
742067006,69288
21694,69263
1120100206,68879
742020474,68794
14166,68781
7090220,68773
742231009,68758
3041008131,68728
17332,68714
7081735,68607
10130,68591
303460,68339
1664,67849
30416074,67803
7013,67784
325940,67784
503440,67736
3040101336,67716
301630,67605
3040101186,67331
1071301,67272
1600400417,67156
11925,67101
55,66498
1500004180,66467
3040127002,66432
3040111690,66362
21512,66246
3040102878,66236
21513,66098
21515,66090
742540001,66024
7070216,65956
3040103229,65937
3040101180,65591
304000345,65423
304002044,65047
3041000227,65035
1020100616,64921
1071303,64831
1500003213,64762
3040100076,64731
3070,64684
11934,64399
1020100551,64177
304001040,64138
7420000121,64113
10280,64002
3040100142,63831
21580,63687
12091,63672
3040101178,63638
1140100014,63625
