source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,omop_domain
10701000521,Does the patient have shortness of breath or choke while eating?,C0048.00,A,dyspnea,Observation
10701000524,"Has the patient had a cold, cough, or fever in the last 4 weeks?",C0047.00,A,cough,Observation
10701000525,When was the last upper respiratory tract infection?,C0057.00,A,respiratory_general,Observation
10701000529,What was the gestational age at birth? (# of weeks),C0447.00,A,,Measurement
10701000531,Capillary Refill,C0046.00,A,capillary_refill,Observation
10701000540,Sensation,C0045.00,A,sensation,Observation
10701000544,Vision - Corrective Lenses,C0044.00,A,vision,Observation
10701000545,Hearing Aid,C0088.00,A,hearing,Observation
10701000559,Temperature: Goal,C0060.00,A,temperature,Observation
10701000564,Respiratory Goal,C0057.00,A,respiratory_general,Observation
10701000589,Tissue Expander Left,C0447.00,A,,Measurement
10701000590,Total Tissue Expander Left,C0447.00,A,,Measurement
10701000592,Tissue Expander Right,C0447.00,A,,Measurement
10701000593,Total Tissue Expander Right,C0447.00,A,,Measurement
10701000595,Tissue Expander Other,C0447.00,A,,Measurement
10701000596,Total Tissue Expander Other,C0447.00,A,,Measurement
10702,Seconds in Non Dominant Hand,C0447.00,A,,Measurement
1071,Yellow High (l/min),C0447.00,A,,Measurement
1071107,How long did the nausea continue (in hours)?,C0054.00,A,nausea,Observation
1071108,How many times did you vomit?,C0447.00,A,,Measurement
1071111,How long did it continue (in hours)?,C0447.00,A,,Measurement
1071116,Have you had a fever?,C0042.00,A,fever,Observation
1071117,What was your temperature?,C0059.00,A,,Measurement
1071120,What relieves the pain?,C0101.00,A,pain_general,Observation
1071204,Which attempt is this?,C0447.00,A,,Measurement
1071303,Did you receive adequate information on how to control your pain?,C0101.00,A,pain_general,Observation
1072,Red Zone (L/min),C0447.00,A,,Measurement
1073,Red High (l/min),C0447.00,A,,Measurement
10730453501,Drainage Amount,C0050.00,A,drainage,Observation
1073048701,Drainage Description,C0050.00,A,drainage,Observation
1073100006,Match Run ID,C0447.00,A,,Measurement
1073100009,Macrosteatosis (%),C0447.00,A,,Measurement
1073100010,Microsteatosis (%),C0447.00,A,,Measurement
1073100013,Liver Weight,C0131.00,A,weight,Observation
1073100015,Reason for Machine Perfusion,C0052.00,A,perfusion,Observation
1073100017,Pre-Perfusion Preservation,C0052.00,A,perfusion,Observation
1073100020,Disposable Set: Lot #,C0447.00,A,,Measurement
1073100022,Shunt Sensor: Lot #,C0447.00,A,,Measurement
1073100024,Bile Duct Cannula Size (Fr),C0447.00,A,,Measurement
1073100025,Total Bicarb Used Before Perfusion (ml),C0052.00,A,perfusion,Observation
1073100026,Start of Machine Perfusion,C0052.00,A,perfusion,Observation
1073100038,Total Bicarbonate Used (ml),C0447.00,A,,Measurement
1073100039,Bile Collected (ml),C0447.00,A,,Measurement
1073100041,TPN Administered Amount (ml),C0447.00,A,,Measurement
1073100042,Termination of Perfusion Time,C0052.00,A,perfusion,Observation
1073100044,Amt. Of Portal And Arterial Flush (ml),C0447.00,A,,Measurement
1073100059,Temperature,C0059.00,A,,Measurement
1073100060,Temperature,C0059.00,A,,Measurement
1073100061,Temperature,C0059.00,A,,Measurement
10752,Level 3 Cognitive Assistance,C0040.00,A,cognition,Observation
10753,Level 4 Cognitive Assistance,C0040.00,A,cognition,Observation
