source_concept_code,source_description,fca_concept_id,reason,intent,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
302090,"Elbow Extension (C6, C7)",C0000.00,no_clinical_attributes,,custom_list,,,,Absent right|Absent left|Moderate right|Moderate left|Strong right|Strong left|Weak right|Weak left|Unable to assess|Other (Comment),IP CVICU COMPLEX ASSESSMENT|IP ICU COMPLEX ASSESSMENT|IP INFANT/NICU ASSESSMENT|IP NEURO ICU COMPLEX ASSESSMENT|IP OB ANTEPARTUM ASSESSMENT|IP OB MAGNESIUM SULFATE|IP PEDS/PICU ASSESSMENT|OB PHYSICAL ASSESSMENT NAV|OR PACU FLOWSHEET,Spinal Cord Motor Function - Cervical Spine,9
302100,"Wrist Extension (C6, C7)",C0000.00,no_clinical_attributes,,custom_list,,,,Absent right|Absent left|Moderate right|Moderate left|Strong right|Strong left|Weak right|Weak left|Unable to assess|Other (Comment),IP CVICU COMPLEX ASSESSMENT|IP ICU COMPLEX ASSESSMENT|IP INFANT/NICU ASSESSMENT|IP NEURO ICU COMPLEX ASSESSMENT|IP OB ANTEPARTUM ASSESSMENT|IP OB MAGNESIUM SULFATE|IP PEDS/PICU ASSESSMENT|OB PHYSICAL ASSESSMENT NAV|OR PACU FLOWSHEET,Spinal Cord Motor Function - Cervical Spine,9
302110,Finger Extension (C8),C0000.00,no_clinical_attributes,,custom_list,,,,Absent right|Absent left|Moderate right|Moderate left|Strong right|Strong left|Weak right|Weak left|Unable to assess|Other (Comment),IP CVICU COMPLEX ASSESSMENT|IP ICU COMPLEX ASSESSMENT|IP INFANT/NICU ASSESSMENT|IP NEURO ICU COMPLEX ASSESSMENT|IP OB ANTEPARTUM ASSESSMENT|IP OB MAGNESIUM SULFATE|IP PEDS/PICU ASSESSMENT|OB PHYSICAL ASSESSMENT NAV|OR PACU FLOWSHEET,Spinal Cord Motor Function - Cervical Spine,9
304000712,Bed-Chair Transfer FIM Goal (OT-IRF),C0000.00,no_clinical_attributes,,custom_list,,,,Score of 7 (FIM)|Score of 7 (FIM)|Score of 6 (FIM)|Score of 6 (FIM)|Score of 5 (FIM)|Score of 5 (FIM)|Score of 4 (FIM)|Score of 4 (FIM)|Score of 3 (FIM)|Score of 3 (FIM)|Score of 2 (FIM)|Score of 2 (FIM)|Score of 1 (FIM)|Score of 1 (FIM)|other (see comments)|other (see comments),CPM S24 IRF GOAL SUMMARY|ZZZ CPM S21 IRF GOAL SUMMARY,Transfer FIM Goals (OT-IRF),2
304001480,Transportation Anticipated,C0000.00,no_clinical_attributes,,custom_list,,,,"agency|agency|agency|car, drives self|car, drives self|car, drives self|family or friend will provide|family or friend will provide|family or friend will provide|health plan transportation|health plan transportation|health plan transportation|public transportation|public transportation|public transportation|other (see comments)|other (see comments)",CPM S24 ED NAVIGATOR TRANSITION NEEDS|CPM S24 POP UP DISCHARGE PLANNING (IRF)|CPM S24 POP UP DISCHARGE PLANNING.POP UP DISCHARGE PLANNING|CPM S24 POP UP DISCHARGE PLANNING.POP UP DISCHARGE PLANNING BH|EHC PATIENT STORY DISCHARGE PLANNING|ELS AMBULATORY PEDIATRIC PATIENT PROFILE|ELS SOCIAL WORK ASSESSMENT|ZZZ CPM S21 ED NAVIGATOR TRANSITION NEEDS (ADULT)|ZZZ CPM S21 POP UP DISCHARGE PLANNING (IRF)|ZZZ CPM S21 POP UP DISCHARGE PLANNING.POP UP DISCHARGE PLANNING|ZZZ CPM S21 POP UP DISCHARGE PLANNING.POP UP DISCHARGE PLANNING BH,Discharge Needs Assessment|Discharge Planning|Transition Needs|Transition Planning,11
304001492,Reorientation Measures,C0000.00,no_clinical_attributes,,custom_list,,,,calendar use encouraged|calendar use encouraged|clock use encouraged|clock use encouraged|family pictures placed in room|family pictures placed in room|familiar personal possession placed in room|familiar personal possession placed in room|glasses use encouraged|glasses use encouraged|hearing device use encouraged|hearing device use encouraged|reorientation provided|reorientation provided|other (see comments)|other (see comments),CPM S21 CPIF ADULT/OB INTERVENTION (CARE PLAN)|CPM S24 CPIF CARE PLAN INTERVENTIONS,Cognitive Rehabilitation Interventions,2
304001510,Anticipated Discharge Disposition,C0000.00,no_clinical_attributes,,custom_list,,,,another healthcare facility|another healthcare facility|basic nursing care/long-term care|basic nursing care/long-term care|cancer center|cancer center|children's hospital|children's hospital|correctional facility|correctional facility|court/law enforcement|court/law enforcement|federal hospital|federal hospital|foster care|foster care|group home|group home|home healthcare service|home healthcare service|home or self-care|home or self-care|home with family|home with family|homeless|homeless|homeless shelter|homeless shelter|hospice/home|hospice/home|hospice/medical facility|hospice/medical facility|left against medical advice|left against medical advice|nursing/skilled nursing care|nursing/skilled nursing care|psychiatric hospital|psychiatric hospital|other (see comments)|other (see comments),CPM S24 POP UP DISCHARGE PLANNING.POP UP DISCHARGE PLANNING BH|ZZZ CPM S21 POP UP DISCHARGE PLANNING.POP UP DISCHARGE PLANNING BH,Discharge Planning,2
304001511,Sensory Impairment Compensatory Techniques,C0000.00,no_clinical_attributes,,custom_list,,,,frequent position change encouraged|frequent position change encouraged|frequent skin inspection facilitated|frequent skin inspection facilitated|friction and shear protection promoted|friction and shear protection promoted|optimal skin moisture level promoted|optimal skin moisture level promoted|pressure relief techniques facilitated|pressure relief techniques facilitated|proper footwear encouraged|proper footwear encouraged|scald prevention techniques implemented|scald prevention techniques implemented|skin protection techniques promoted|skin protection techniques promoted|visual monitoring of insensate areas promoted|visual monitoring of insensate areas promoted|wheelchair precautions implemented|wheelchair precautions implemented|other (see comments)|other (see comments),CPM S21 CPIF ADULT/OB INTERVENTION (CARE PLAN)|CPM S24 CPIF CARE PLAN INTERVENTIONS,Rehabilitation Skin Interventions|Skin Comfort Care,2
304001515,Social Functional Ability Promotion,C0000.00,no_clinical_attributes,,custom_list,,,,autonomy promoted|autonomy promoted|education/school work progression facilitated|education/school work progression facilitated|opportunity for activity provided|opportunity for activity provided|self-expression encouraged|self-expression encouraged|social interaction promoted|social interaction promoted|other (see comments)|other (see comments),CPM S21 CPIF ADULT/OB INTERVENTION (CARE PLAN)|CPM S24 CPIF CARE PLAN INTERVENTIONS,Coping/Psychosocial Interventions,2
304001527,Outcome Minimized Risk and Safety,C0000.00,no_clinical_attributes,,custom_list,,,,"met|progressing|ongoing, progressing|not progressing|met|ongoing, not progressing|unable to meet, plan revised|unable to meet|adequate for care transition|adequate for care transition|other (see comments)|other (see comments)",CPM S21 NAVIGATOR CARE PLAN (PERIPROCEDURE) (ADULT).NAV PP POST PERIPROCEDURE CARE PLAN V2|CPM S21 NAVIGATOR CARE PLAN (PERIPROCEDURE) (ADULT).NAV PP PRE PERIPROCEDURE CARE PLAN V2|CPM S21 NAVIGATOR CARE PLAN (PERIPROCEDURE) (PED/NB/NICU) (PEDIATRICS).NAV PP POST PERIPROCEDURE CARE PLAN PEDS V2|CPM S21 NAVIGATOR CARE PLAN (PERIPROCEDURE) (PED/NB/NICU) (PEDIATRICS).NAV PP PRE PERIPROCEDURE CARE PLAN PEDS V2|CPM S24 NAVIGATOR CARE PLAN (PERIPROCEDURE).NAV PO PERIPROC POSTOP CARE PLAN|CPM S24 NAVIGATOR CARE PLAN (PERIPROCEDURE).NAV PO PERIPROC PREINTRA CARE PLAN,Goal: Minimized Risk/Safety Maintenance (Periprocedure),6
