source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,fca_methods,omop_domain,suggested_concept_id,suggested_concept_name,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
1020100622,Hearing Examination Left,C0088.00,A,hearing,,Observation,0,,custom_list,,,,Yes,IP CORE MEASURES|IP CORE MEASURES PERINATAL CARE NAV,Perinatal Care: Baby,2
1020100623,Hearing Examination Right,C0088.00,A,hearing,,Observation,0,,custom_list,,,,Yes,IP CORE MEASURES|IP CORE MEASURES PERINATAL CARE NAV,Perinatal Care: Baby,2
1020100625,Dietary Intake Other Than Breast Milk Administered - Narrative Documentation,C0087.00,A,intake,,Observation,0,,custom_list,,,,Yes,IP CORE MEASURES|IP CORE MEASURES PERINATAL CARE NAV,Perinatal Care: Baby,2
1020100645,Doppler/Fetoscope Rate (Fetus D),C0447.00,A,,,Measurement,0,,numeric,BPM,0,210,,ED TRAUMA ASSESSMENT SIDEBAR|ED TRAUMA SECONDARY ASSESSMENT|IP OB ANTEPARTUM ASSESSMENT|IP OB FETAL ASSESSMENT NAV|IP OB LABOR ASSESSMENT|IP OB LABOR MONITORING NAV,Fetal Heart Rate Fetus D,6
1020100647,FHR Baseline Rate (Fetus D),C0447.00,A,,,Measurement,0,,numeric,BPM,0,210,,ED TRAUMA ASSESSMENT SIDEBAR|ED TRAUMA SECONDARY ASSESSMENT|IP OB ANTEPARTUM ASSESSMENT|IP OB FETAL ASSESSMENT NAV|IP OB LABOR ASSESSMENT|IP OB LABOR MONITORING NAV,Fetal Heart Rate Fetus D,6
1020100649,Variability (Fetus D),C0084.00,A,fetal_variability,,Observation,0,,custom_list,,,,Absent - Undetectable|Minimal (Less than or equal to 5 BPM)|Moderate (Between 6 and 25 BPM)|Marked (Greater than 25 BPM),ED TRAUMA ASSESSMENT SIDEBAR|ED TRAUMA SECONDARY ASSESSMENT|IP OB ANTEPARTUM ASSESSMENT|IP OB FETAL ASSESSMENT NAV|IP OB LABOR ASSESSMENT|IP OB LABOR MONITORING NAV,Fetal Heart Rate Fetus D,6
1020100655,Doppler/Fetoscope Rate (Fetus E),C0447.00,A,,,Measurement,0,,numeric,BPM,0,210,,ED TRAUMA ASSESSMENT SIDEBAR|ED TRAUMA SECONDARY ASSESSMENT|IP OB ANTEPARTUM ASSESSMENT|IP OB FETAL ASSESSMENT NAV|IP OB LABOR ASSESSMENT|IP OB LABOR MONITORING NAV,Fetal Heart Rate Fetus E,6
1020100656,FHR Baseline Rate (Fetus E),C0447.00,A,,,Measurement,0,,numeric,BPM,0,210,,ED TRAUMA ASSESSMENT SIDEBAR|ED TRAUMA SECONDARY ASSESSMENT|IP OB ANTEPARTUM ASSESSMENT|IP OB FETAL ASSESSMENT NAV|IP OB LABOR ASSESSMENT|IP OB LABOR MONITORING NAV,Fetal Heart Rate Fetus E,6
1020100658,Variability (Fetus E),C0084.00,A,fetal_variability,,Observation,0,,custom_list,,,,Absent - Undetectable|Minimal (Less than or equal to 5 BPM)|Moderate (Between 6 and 25 BPM)|Marked (Greater than 25 BPM),ED TRAUMA ASSESSMENT SIDEBAR|ED TRAUMA SECONDARY ASSESSMENT|IP OB ANTEPARTUM ASSESSMENT|IP OB FETAL ASSESSMENT NAV|IP OB LABOR ASSESSMENT|IP OB LABOR MONITORING NAV,Fetal Heart Rate Fetus E,6
1020100670,SpO2: Post-Ductal (Either Foot),C0418.00,A,spo2,,Observation,0,,numeric,%,0,100,,AMB BASIC VITALS|AN POST-OP VITALS|CV INVASIVE OXYGEN THERAPY|ED DEPARTURE CONDITION NAV|ED IV POST-THROMBOLYTIC 15 MINUTE REASSESSMENT|ED IV POST-THROMBOLYTIC 60 MINUTE REASSESSMENT|ED IV POST-THROMBOLYTICALTEPLASE 30 MINUTE REASSESSMENT|ED VITALS|ED VITALS MINIMAL PAIN DOC|EHC CV OXYGEN THERAPY/SPO2|EHC IP ICU COMPLEX VITALS AND DRIPS|EHC OR/GI PERIOP VITALS|EHC SEDATION NARR VITALS|ENDOSCOPY INTRAPROCEDURE VITALS|GI INTRAOP VITALS|GI INTRAPROCEDURE OXYGEN THERAPY|HEMODIALYSIS VITALS|IP BASIC VITALS|IP BASIC VITALS NAV|IP BLOOD ADMIN WITH VITAL SIGNS|IP ECT THERAPY - POST|IP ICU COMPLEX VITALS|IP NICU COMPLEX VITAL SIGNS|IP NICU SCREEN|IP OB CCHD SCREEN NAV|IP OB MAGNESIUM SULFATE|IP OB POSTPARTUM|IP PATIENT CONTROLLED ANALGESIA (PCA)|IP PCT VITALS INTAKE/OUTPUT|IP PEDS BASIC VITAL SIGNS|IP PICU COMPLEX VITAL SIGNS|IP PULMONARY REHAB|MFM RECOVERY|OB NEWBORN SCREEN|OR PACU FLOWSHEET|OR PACU PEDIATRIC FLOWSHEET|OR PERI-OP VITALS|RIS INTRAPROCEDURE SEDATION NAV|RIS NAR VITALS MINIMAL PAIN DOC|ROVER IP PCT VITALS INTAKE/OUTPUT + SONNET|ROVER OXYGEN|T EHC BH PSYCH MOBILE EVAL|T EHC BH PSYCH MOBILE EVAL NURSING DOCUMENTATION NAV|T EHC OR PERIOP VITALS - ASC,Critical Congenital Heart Defect Screen|Oxygen Therapy / SpO2,44
